Area Name,Division,Ownership,Household Size,Total number of female headed households,No exclusive room,1,2,3,4,5,6 and above
 JAMMU & KASHMIR,Rural,Any Other,2, 148 , 24 , 86 , 25 , 11 , 1 , -   , 1 
 JAMMU & KASHMIR,Rural,Any Other,3, 168 , 25 , 91 , 28 , 17 , 2 , 5 , -   
 JAMMU & KASHMIR,Rural,Any Other,4, 124 , 13 , 62 , 26 , 13 , 5 , -   , 5 
 JAMMU & KASHMIR,Rural,Any Other,5, 90 , 7 , 52 , 15 , 10 , 2 , 3 , 1 
 JAMMU & KASHMIR,Rural,Any Other,608, 141 , 12 , 66 , 37 , 15 , 4 , 2 , 5 
 JAMMU & KASHMIR,Rural,Any Other,9+, 37 , 4 , 15 , 8 , 4 , 4 , -   , 2 
 JAMMU & KASHMIR,Urban,Total,All Households," 46,536 "," 1,210 "," 7,461 "," 11,847 "," 10,964 "," 7,176 "," 2,946 "," 4,932 "
 JAMMU & KASHMIR,Urban,Total,1," 2,797 ", 121 ," 1,053 ", 734 , 454 , 228 , 81 , 126 
 JAMMU & KASHMIR,Urban,Total,2," 4,587 ", 147 ," 1,246 "," 1,463 ", 860 , 477 , 157 , 237 
 JAMMU & KASHMIR,Urban,Total,3," 7,597 ", 205 ," 1,615 "," 2,240 "," 1,839 ", 935 , 327 , 436 
 JAMMU & KASHMIR,Urban,Total,4," 8,089 ", 199 ," 1,367 "," 2,345 "," 2,025 "," 1,198 ", 406 , 549 
 JAMMU & KASHMIR,Urban,Total,5," 8,897 ", 173 ," 1,061 "," 2,326 "," 2,378 "," 1,540 ", 628 , 791 
 JAMMU & KASHMIR,Urban,Total,608," 10,684 ", 248 , 909 ," 2,299 "," 2,733 "," 2,037 ", 885 ," 1,573 "
 JAMMU & KASHMIR,Urban,Total,9+," 3,885 ", 117 , 210 , 440 , 675 , 761 , 462 ," 1,220 "
 JAMMU & KASHMIR,Urban,Owned,All Households," 42,044 "," 1,028 "," 5,330 "," 10,403 "," 10,510 "," 7,000 "," 2,897 "," 4,876 "
 JAMMU & KASHMIR,Urban,Owned,1," 2,277 ", 89 , 715 , 624 , 425 , 221 , 79 , 124 
 JAMMU & KASHMIR,Urban,Owned,2," 3,885 ", 115 , 858 ," 1,251 ", 811 , 466 , 151 , 233 
 JAMMU & KASHMIR,Urban,Owned,3," 6,613 ", 163 ," 1,104 "," 1,926 "," 1,760 ", 907 , 323 , 430 
 JAMMU & KASHMIR,Urban,Owned,4," 7,226 ", 164 , 977 ," 2,041 "," 1,946 "," 1,163 ", 398 , 537 
 JAMMU & KASHMIR,Urban,Owned,5," 8,179 ", 156 , 785 ," 2,054 "," 2,275 "," 1,510 ", 617 , 782 
 JAMMU & KASHMIR,Urban,Owned,608," 10,116 ", 227 , 710 ," 2,114 "," 2,637 "," 1,989 ", 877 ," 1,562 "
 JAMMU & KASHMIR,Urban,Owned,9+," 3,748 ", 114 , 181 , 393 , 656 , 744 , 452 ," 1,208 "
 JAMMU & KASHMIR,Urban,Rented,All Households," 3,034 ", 114 ," 1,375 "," 1,001 ", 330 , 135 , 37 , 42 
 JAMMU & KASHMIR,Urban,Rented,1, 280 , 17 , 186 , 59 , 12 , 5 , -   , 1 
 JAMMU & KASHMIR,Urban,Rented,2, 455 , 22 , 253 , 134 , 30 , 9 , 5 , 2 
 JAMMU & KASHMIR,Urban,Rented,3, 724 , 23 , 370 , 240 , 62 , 22 , 2 , 5 
 JAMMU & KASHMIR,Urban,Rented,4, 596 , 23 , 259 , 215 , 56 , 27 , 7 , 9 
 JAMMU & KASHMIR,Urban,Rented,5, 497 , 14 , 163 , 200 , 83 , 23 , 8 , 6 
 JAMMU & KASHMIR,Urban,Rented,608, 390 , 13 , 125 , 127 , 72 , 37 , 6 , 10 
 JAMMU & KASHMIR,Urban,Rented,9+, 92 , 2 , 19 , 26 , 15 , 12 , 9 , 9 
 JAMMU & KASHMIR,Urban,Any Other,All Households," 1,458 ", 68 , 756 , 443 , 124 , 41 , 12 , 14 
 JAMMU & KASHMIR,Urban,Any Other,1, 240 , 15 , 152 , 51 , 17 , 2 , 2 , 1 
 JAMMU & KASHMIR,Urban,Any Other,2, 247 , 10 , 135 , 78 , 19 , 2 , 1 , 2 
 JAMMU & KASHMIR,Urban,Any Other,3, 260 , 19 , 141 , 74 , 17 , 6 , 2 , 1 
 JAMMU & KASHMIR,Urban,Any Other,4, 267 , 12 , 131 , 89 , 23 , 8 , 1 , 3 
 JAMMU & KASHMIR,Urban,Any Other,5, 221 , 3 , 113 , 72 , 20 , 7 , 3 , 3 
